3,France,7/5/2004,3,0.64,1.0602,0,2.0904,2.07,0
3,France,7/5/2004,4,0.64,1.932,0,0,2.214,0
3,France,7/5/2004,5,1,1.193,0,3.519,1.29,1.044
3,France,7/5/2004,6,0.88,1.4976,0,0,1.1307,0.99
3,France,7/5/2004,7,0.88,0.631,0,0.18025,0.48075,0.66
3,France,7/5/2004,8,0.88,0.879428571,0,0,1.728857143,0.454714286
3,France,7/5/2004,9,0.88,1.521,0,1.476,1.695,0
3,France,7/5/2004,10,0.88,0.894857143,0,0,4.354285714,0.855
3,France,7/5/2004,11,0.88,0,0,4.338,1.107,2.184
3,France,7/5/2004,12,0,4.6125,0,0,0,0.9465
3,France,7/5/2004,13,0,0,0,0,0,2.5275
3,France,7/5/2004,14,0,0,0,4.4775,0,1.1505
3,France,7/5/2004,15,0,0,0,0,1.918636364,2.356354545
3,France,7/5/2004,16,0.64,0,0,0,5.5025,1.1245
3,France,7/5/2004,17,0.64,0.967,0,0,3.778,1.149
3,France,7/5/2004,18,0.64,0,0,2.112272727,1.695818182,0.862909091
3,France,7/5/2004,19,0.64,1.786,0,0,0.908,1.347
3,France,7/5/2004,20,1,1.732666667,0,0,0,2.211
3,France,7/5/2004,21,0.88,7.245,0,0,0,1.521
3,France,7/5/2004,22,0.88,0.811125,0,3.1545,0.72,1.59225
3,France,7/5/2004,23,0.88,2.161714286,0,0,1.356,1.451142857
3,France,7/5/2004,24,0.88,1.952666667,0,2.211,0,0.510666667
3,France,7/5/2004,25,0.88,0.94575,0,1.02,1.239,0.94575
3,France,7/5/2004,26,0.88,2.844375,0,0,0.592875,1.15575
3,France,7/5/2004,27,0,3.471428571,0,0,0,1.437
3,France,7/5/2004,28,0,0,0,0,0,1.888666667
3,France,7/5/2004,29,0,0,0,2.181666667,0,1.8253
3,France,7/5/2004,30,0,0,0,0,4.8475,1.023
4,Germany,10/5/2004,1,0.64,6.71449742,0.155248495,1.136136715,0.09703031,0.104087059
4,Germany,10/5/2004,2,0.64,3.284492622,3.644557321,0.700056105,0.037637425,0.070256527
4,Germany,10/5/2004,3,0.64,2.110022111,0.439190123,5.716291317,0.098204003,0.087292447
4,Germany,10/5/2004,4,0.64,2.659353752,0.66541807,0.788300153,2.19332925,1.263598775
4,Germany,10/5/2004,5,1,3.548474737,0.40136025,3.67600977,0.456375363,0.108779881
4,Germany,10/5/2004,6,0.88,6.595686941,0.888148643,1.302989231,0.225517367,0.165657819
4,Germany,10/5/2004,7,0.88,3.46493456,0.375204778,3.029914527,0.034801603,0.424144532
4,Germany,10/5/2004,8,0.88,6.929197258,0.150410764,0.459473978,0.561464839,0.015453161
